,Unnamed: 0,ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,additive_terms,additive_terms_lower,additive_terms_upper,daily,daily_lower,daily_upper,weekly,weekly_lower,weekly_upper,yearly,yearly_lower,yearly_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yhat
46268,46268,2020-01-12 21:00:00,4084.4634350196693,3038.5946076007726,8329.331269663437,2920.35662244669,5344.451036555796,1507.9884489894207,1507.9884489894207,1507.9884489894207,191.564483156171,191.564483156171,191.564483156171,202.0477559927943,202.0477559927943,202.0477559927943,1114.3762098404554,1114.3762098404554,1114.3762098404554,0.0,0.0,0.0,5592.45188400909
46269,46269,2020-01-13 21:00:00,4086.196823898247,2623.4274948384705,8073.54165692211,2910.7601293536445,5352.433047205706,1269.0354262643311,1269.0354262643311,1269.0354262643311,191.56448315589185,191.56448315589185,191.56448315589185,-34.969174481636486,-34.969174481636486,-34.969174481636486,1112.4401175900757,1112.4401175900757,1112.4401175900757,0.0,0.0,0.0,5355.232250162579
46270,46270,2020-01-14 21:00:00,4087.930212776825,2764.8862590113786,7967.477340347364,2906.2843953369897,5360.415057855614,1189.0030019080466,1189.0030019080466,1189.0030019080466,191.56448315588472,191.56448315588472,191.56448315588472,-115.3362831464138,-115.3362831464138,-115.3362831464138,1112.7748018985758,1112.7748018985758,1112.7748018985758,0.0,0.0,0.0,5276.933214684872
46271,46271,2020-01-15 21:00:00,4089.663601655404,2889.990213233379,8060.014209946845,2901.8086613203322,5368.397068505525,1361.1185102749648,1361.1185102749648,1361.1185102749648,191.564483156253,191.564483156253,191.564483156253,54.24483483669721,54.24483483669721,54.24483483669721,1115.3091922820147,1115.3091922820147,1115.3091922820147,0.0,0.0,0.0,5450.782111930369
46272,46272,2020-01-16 21:00:00,4091.396990533983,2797.776861336009,8042.08018532359,2894.0411543098876,5376.379079155435,1155.7967077905118,1155.7967077905118,1155.7967077905118,191.56448315559837,191.56448315559837,191.56448315559837,-155.6691583598039,-155.6691583598039,-155.6691583598039,1119.9013829947176,1119.9013829947176,1119.9013829947176,0.0,0.0,0.0,5247.193698324494
46273,46273,2020-01-17 21:00:00,4093.1303794125624,2880.921050616248,8114.374381352403,2883.652640475168,5384.361089805345,1226.2044172956046,1226.2044172956046,1226.2044172956046,191.5644831559666,191.5644831559666,191.5644831559666,-91.70533900804544,-91.70533900804544,-91.70533900804544,1126.345273147683,1126.345273147683,1126.345273147683,0.0,0.0,0.0,5319.334796708166
46274,46274,2020-01-18 21:00:00,4094.863768291141,2937.926852729437,8348.841444817843,2877.560707427924,5392.343100455254,1467.3309271137489,1467.3309271137489,1467.3309271137489,191.56448315595952,191.56448315595952,191.56448315595952,141.38736416733317,141.38736416733317,141.38736416733317,1134.3790797904558,1134.3790797904558,1134.3790797904558,0.0,0.0,0.0,5562.194695404889
46275,46275,2020-01-19 21:00:00,4096.597157169719,2991.191872076289,8377.901553928912,2873.289127837215,5400.325111105165,1537.3076791545845,1537.3076791545845,1537.3076791545845,191.5644831563278,191.5644831563278,191.5644831563278,202.04775599258872,202.04775599258872,202.04775599258872,1143.6954400056682,1143.6954400056682,1143.6954400056682,0.0,0.0,0.0,5633.904836324305
46276,46276,2020-01-20 21:00:00,4098.330546048297,2469.330027802293,8121.680289847325,2867.4377976630385,5408.3071217550705,1310.5480823860225,1310.5480823860225,1310.5480823860225,191.56448315567317,191.56448315567317,191.56448315567317,-34.96917448172581,-34.96917448172581,-34.96917448172581,1153.9527737120752,1153.9527737120752,1153.9527737120752,0.0,0.0,0.0,5408.8786284343205
46277,46277,2020-01-21 21:00:00,4100.063934926876,2795.583352375142,8008.297733346081,2863.288455935723,5416.289132404982,1241.0157446543997,1241.0157446543997,1241.0157446543997,191.5644831560415,191.5644831560415,191.5644831560415,-115.33628314685566,-115.33628314685566,-115.33628314685566,1164.7875446452135,1164.7875446452135,1164.7875446452135,0.0,0.0,0.0,5341.079679581275
46278,46278,2020-01-22 21:00:00,4101.797323805455,2935.205770328741,8295.839577561235,2856.636990270877,5424.271143054892,1421.6363517892066,1421.6363517892066,1421.6363517892066,191.56448315603438,191.56448315603438,191.56448315603438,54.24483483677059,54.24483483677059,54.24483483677059,1175.827033796401,1175.827033796401,1175.827033796401,0.0,0.0,0.0,5523.433675594661
46279,46279,2020-01-23 21:00:00,4103.5307126840335,2615.8598370654795,8218.096715297286,2848.925722318049,5432.253153704803,1222.59755281173,1222.59755281173,1222.59755281173,191.5644831557552,191.5644831557552,191.5644831557552,-155.66915835997744,-155.66915835997744,-155.66915835997744,1186.7022280159524,1186.7022280159524,1186.7022280159524,0.0,0.0,0.0,5326.128265495763
46280,46280,2020-01-24 21:00:00,4105.264101562612,2618.557089373475,8161.096806809928,2844.6050639114565,5440.235164354712,1296.91957091234,1296.91957091234,1296.91957091234,191.56448315612352,191.56448315612352,191.56448315612352,-91.70533900794987,-91.70533900794987,-91.70533900794987,1197.0604267641659,1197.0604267641659,1197.0604267641659,0.0,0.0,0.0,5402.183672474952
46281,46281,2020-01-25 21:00:00,4106.997490441191,2973.2750806995978,8411.432320852662,2840.3021003781505,5448.217175004622,1539.5290293279636,1539.5290293279636,1539.5290293279636,191.5644831561163,191.5644831561163,191.5644831561163,141.3873641673109,141.3873641673109,141.3873641673109,1206.5771820045359,1206.5771820045359,1206.5771820045359,0.0,0.0,0.0,5646.526519769154
46282,46282,2020-01-26 21:00:00,4108.730879319769,2945.600831662765,8336.84468054972,2832.48120444088,5456.199185654529,1608.5794486679915,1608.5794486679915,1608.5794486679915,191.56448315583717,191.56448315583717,191.56448315583717,202.04775599343787,202.04775599343787,202.04775599343787,1214.9672095187163,1214.9672095187163,1214.9672095187163,0.0,0.0,0.0,5717.310327987761
46283,46283,2020-01-27 21:00:00,4110.464268198347,2741.100344115548,8203.28743721063,2824.5988902359227,5464.181196304439,1378.5892523794598,1378.5892523794598,1378.5892523794598,191.56448315583,191.56448315583,191.56448315583,-34.969174481815124,-34.969174481815124,-34.969174481815124,1221.993943705445,1221.993943705445,1221.993943705445,0.0,0.0,0.0,5489.053520577807
46284,46284,2020-01-28 21:00:00,4112.197657076927,3020.3340998824506,8218.985715554321,2822.457179469627,5472.670616019771,1303.7056511150633,1303.7056511150633,1303.7056511150633,191.56448315619832,191.56448315619832,191.56448315619832,-115.33628314662089,-115.33628314662089,-115.33628314662089,1227.4774511054854,1227.4774511054854,1227.4774511054854,0.0,0.0,0.0,5415.903308191989
46285,46285,2020-01-29 21:00:00,4113.9310459555045,2872.466630196545,8384.421854734963,2811.4306183651124,5483.557761540852,1477.1097871317832,1477.1097871317832,1477.1097871317832,191.5644831561912,191.5644831561912,191.5644831561912,54.24483483670976,54.24483483670976,54.24483483670976,1231.300469138882,1231.300469138882,1231.300469138882,0.0,0.0,0.0,5591.040833087288
46286,46286,2020-01-30 21:00:00,4115.664434834083,2716.555647144416,7917.336623124242,2806.5943950151336,5494.444907061935,1269.3077190481565,1269.3077190481565,1269.3077190481565,191.56448315591203,191.56448315591203,191.56448315591203,-155.66915836008243,-155.66915836008243,-155.66915836008243,1233.4123942523267,1233.4123942523267,1233.4123942523267,0.0,0.0,0.0,5384.97215388224
46287,46287,2020-01-31 21:00:00,4117.397823712661,2654.1219856016423,8047.062604636538,2803.7036639032585,5505.332052583015,1333.6902502686191,1333.6902502686191,1333.6902502686191,191.5644831559048,191.5644831559048,191.5644831559048,-91.70533900785419,-91.70533900785419,-91.70533900785419,1233.8311061205686,1233.8311061205686,1233.8311061205686,0.0,0.0,0.0,5451.08807398128
